Title,Author,Date,Rank,Year
#IMOMSOHARD,Kristin Hensley and Jen Smedley,2019-04-06,10,2019
108 STITCHES,Ron Darling with Daniel Paisner,2019-04-27,5,2019
21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari,2019-12-07,15,2019
21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari,2019-09-28,12,2019
21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari,2019-09-21,10,2019
21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari,2019-09-14,15,2019
21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari,2019-09-07,9,2019
21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari,2019-08-31,13,2019
21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari,2019-08-31,9,2019
21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari,2019-08-24,6,2019
21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari,2019-03-02,5,2019
21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari,2019-03-02,13,2019
7-DAY APPLE CIDER VINEGAR CLEANSE,JJ Smith,2019-12-28,7,2019
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,2019-12-28,9,2019
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,2019-12-21,7,2019
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,2019-12-14,10,2019
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,2019-12-07,9,2019
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,2019-11-30,7,2019
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,2019-11-23,10,2019
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,2019-11-16,9,2019
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,2019-11-09,8,2019
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,2019-09-28,10,2019
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,2019-09-21,10,2019
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,2019-09-14,8,2019
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,2019-08-31,8,2019
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,2019-08-24,7,2019
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,2019-08-17,6,2019
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,2019-08-10,8,2019
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,2019-08-03,7,2019
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,2019-07-27,7,2019
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,2019-07-20,6,2019
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,2019-07-13,8,2019
A BEAUTIFUL DAY IN THE NEIGHBORHOOD,Fred Rogers,2019-07-06,10,2019
A BETTER MAN,Louise Penny,2019-09-28,15,2019
A BETTER MAN,Louise Penny,2019-09-21,10,2019
A BETTER MAN,Louise Penny,2019-09-14,9,2019
A BETTER MAN,Louise Penny,2019-09-14,13,2019
A BETTER MAN,Louise Penny,2019-09-07,5,2019
A BETTER MAN,Louise Penny,2019-09-07,4,2019
A BETTER MAN,Louise Penny,2019-08-31,11,2019
A BETTER MAN,Louise Penny,2019-08-31,1,2019
A BETTER MAN,Louise Penny,2019-08-31,1,2019
A CLASH OF KINGS,George RR Martin,2019-06-29,6,2019
A CLASH OF KINGS,George RR Martin,2019-06-01,4,2019
A CLASH OF KINGS,George RR Martin,2019-04-27,10,2019
A COLUMN OF FIRE,Ken Follett,2019-09-28,12,2019
A CURSE SO DARK AND LONELY,Brigid Kemmerer,2019-02-02,7,2019
A DANGEROUS MAN,Robert Crais,2019-08-17,14,2019
A DANGEROUS MAN,Robert Crais,2019-08-10,7,2019
A DANGEROUS MAN,Robert Crais,2019-08-10,4,2019
A DAY IN THE LIFE OF MARLON BUNDO,Marlon Bundo with Jill Twiss,2019-01-05,6,2019
A DELICATE TOUCH,Stuart Woods,2019-01-05,9,2019
A DELICATE TOUCH,Stuart Woods,2019-01-05,5,2019
A DISCOVERY OF WITCHES,Deborah Harkness,2019-03-02,12,2019
A DISCOVERY OF WITCHES,Deborah Harkness,2019-01-26,15,2019
A DOG'S JOURNEY,W Bruce Cameron,2019-05-18,14,2019
A DOG'S JOURNEY,W Bruce Cameron,2019-05-11,12,2019
A DOG'S JOURNEY,W Bruce Cameron,2019-05-04,14,2019
A DOG'S JOURNEY,W Bruce Cameron,2019-04-20,15,2019
A DOG'S WAY HOME,W Bruce Cameron,2019-04-06,12,2019
A DOG'S WAY HOME,W Bruce Cameron,2019-02-16,9,2019
A DOG'S WAY HOME,W Bruce Cameron,2019-02-09,11,2019
A DOG'S WAY HOME,W Bruce Cameron,2019-02-02,7,2019
A DOG'S WAY HOME,W Bruce Cameron,2019-01-26,5,2019
A DOG'S WAY HOME,W Bruce Cameron,2019-01-19,9,2019
A DOG'S WAY HOME,W Bruce Cameron,2019-01-19,4,2019
A DOG'S WAY HOME,W Bruce Cameron,2019-01-12,3,2019
A DOG'S WAY HOME,W Bruce Cameron,2019-01-12,14,2019
A DOG'S WAY HOME,W Bruce Cameron,2019-01-05,3,2019
A DOG'S WAY HOME,W Bruce Cameron,2019-01-05,14,2019
A DREAM ABOUT LIGHTNING BUGS,Ben Folds,2019-08-03,12,2019
A DREAM ABOUT LIGHTNING BUGS,Ben Folds,2019-08-03,7,2019
A FEAST FOR CROWS,George RR Martin,2019-06-01,13,2019
A GENTLEMAN IN MOSCOW,Amor Towles,2019-12-28,6,2019
A GENTLEMAN IN MOSCOW,Amor Towles,2019-12-21,4,2019
A GENTLEMAN IN MOSCOW,Amor Towles,2019-12-14,4,2019
A GENTLEMAN IN MOSCOW,Amor Towles,2019-12-07,9,2019
A GENTLEMAN IN MOSCOW,Amor Towles,2019-11-30,8,2019
A GENTLEMAN IN MOSCOW,Amor Towles,2019-11-23,9,2019
A GENTLEMAN IN MOSCOW,Amor Towles,2019-11-16,8,2019
A GENTLEMAN IN MOSCOW,Amor Towles,2019-11-09,10,2019
A GENTLEMAN IN MOSCOW,Amor Towles,2019-11-02,14,2019
A GENTLEMAN IN MOSCOW,Amor Towles,2019-10-26,14,2019
A GENTLEMAN IN MOSCOW,Amor Towles,2019-10-05,14,2019
A KILLER'S MIND,Mike Omer,2019-03-02,5,2019
A LITTLE HATRED,Joe Abercrombie,2019-09-21,15,2019
A LITTLE HATRED,Joe Abercrombie,2019-09-21,13,2019
A MINUTE TO MIDNIGHT,David Baldacci,2019-12-28,7,2019
A MINUTE TO MIDNIGHT,David Baldacci,2019-12-28,8,2019
A MINUTE TO MIDNIGHT,David Baldacci,2019-12-28,10,2019
A MINUTE TO MIDNIGHT,David Baldacci,2019-12-21,5,2019
A MINUTE TO MIDNIGHT,David Baldacci,2019-12-21,6,2019
A MINUTE TO MIDNIGHT,David Baldacci,2019-12-14,5,2019
A MINUTE TO MIDNIGHT,David Baldacci,2019-12-14,4,2019
A PIGLET NAMED MERCY,Kate DiCamillo,2019-04-20,9,2019
A PIGLET NAMED MERCY,Kate DiCamillo,2019-04-13,10,2019
A PIGLET NAMED MERCY,Kate DiCamillo,2019-04-06,5,2019
"A REPUBLIC, IF YOU CAN KEEP IT",Neil M Gorsuch with Jane Nitze and David Feder,2019-09-14,14,2019
A SERIAL KILLER'S DAUGHTER,Kerri Rawson,2019-02-16,15,2019
A SERIAL KILLER'S DAUGHTER,Kerri Rawson,2019-02-09,10,2019
A SERIAL KILLER'S DAUGHTER,Kerri Rawson,2019-02-02,13,2019
A SOLDIER'S RETURN,RaeAnne Thayne,2019-01-19,14,2019
A SONG FOR YOU,Ron Crawford,2019-11-16,10,2019
A SONG FOR YOU,Ron Crawford,2019-11-16,8,2019
A SPARK OF LIGHT,Jodi Picoult,2019-11-02,13,2019
A SPARK OF LIGHT,Jodi Picoult,2019-10-26,11,2019
A SPARK OF LIGHT,Jodi Picoult,2019-10-19,8,2019
A SPARK OF LIGHT,Jodi Picoult,2019-10-12,8,2019
A SPARK OF LIGHT,Jodi Picoult,2019-10-05,8,2019
A SPARK OF LIGHT,Jodi Picoult,2019-09-28,8,2019
A STORM OF SWORDS,George RR Martin,2019-06-29,12,2019
A STORM OF SWORDS,George RR Martin,2019-06-01,6,2019
A STORM OF SWORDS,George RR Martin,2019-04-27,15,2019
